paper_id	title	authors	venue	year	url	doi_or_arxiv	local_pdf_path	relevance_note	status
iccad2023_systolic_array_placement_fpga	Systolic Array Placement on FPGAs	unknown	ICCAD	2023			docs/papers/pdf/Systolic_Array_Placement_on_FPGAs.pdf	Primary predecessor and strongest writing/style anchor for the current paper line.	summarized
iccad2024_sysmix	SysMix: Mixed-Size Placement for Systolic-Array-Based Hierarchical Designs	unknown	ICCAD	2024			docs/papers/pdf/3676536.3676690.pdf	Immediate follow-up in the same research line; important for structure and contribution ordering.	summarized
date2021_timing_driven_fpga_clock_constraints	Timing-Driven Placement for FPGAs with Heterogeneous Architectures and Clock Constraints	unknown	DATE	2021			docs/papers/pdf/Timing-Driven_Placement_for_FPGAs_with_Heterogeneous_Architectures_and_Clock_Constraints.pdf	Strong technical neighbor for timing-driven FPGA placement and constrained heterogeneous resources.	summarized
date2025_timing_driven_global_placement_cp_extraction	Timing-Driven Global Placement by Efficient Critical Path Extraction	unknown	DATE	2025			docs/papers/pdf/Timing-Driven_Global_Placement_by_Efficient_Critical_Path_Extraction.pdf	Recent non-FPGA timing-driven placement paper; useful mainly for wording and result presentation style.	summarized
ispd2017_effective_timing_driven_detailed_placement_fpga	An Effective Timing-Driven Detailed Placement Algorithm for FPGAs	unknown	ISPD	2017			docs/papers/pdf/3036669.3036682.pdf	Classic FPGA timing-driven placement reference, especially for critical-path-centered detailed placement.	summarized
iccad2016_ripplefpga	RippleFPGA: A Routability-Driven Placement for Large-Scale Heterogeneous FPGAs (Invited Paper)	unknown	ICCAD	2016			docs/papers/pdf/2966986.2980084.pdf	Useful FPGA placement writing sample for full-flow narration with architecture-aware stages.	summarized
iccad2017_utplacef3	UTPlaceF 3.0: A Parallelization Framework for Modern FPGA Global Placement (Invited Paper)	unknown	ICCAD	2017			docs/papers/pdf/UTPlaceF_3.0_A_parallelization_framework_for_modern_FPGA_global_placement_Invited_paper.pdf	Useful for understanding how FPGA placement papers narrate scalability and runtime-oriented contributions.	summarized
tcad2019_fpga_placement_without_explicit_packing	A New Paradigm for FPGA Placement Without Explicit Packing	unknown	TCAD	2019			docs/papers/pdf/A_New_Paradigm_for_FPGA_Placement_Without_Explicit_Packing.pdf	Important methodological reference for FPGA placement formulation and title/claim style.	summarized
iccad2017_clock_aware_ultrascale_fpga_placement	Clock-Aware UltraScale FPGA Placement with Machine Learning Routability Prediction (Invited Paper)	unknown	ICCAD	2017			docs/papers/pdf/Clock-aware_ultrascale_FPGA_placement_with_machine_learning_routability_prediction_Invited_paper.pdf	Useful for learning how FPGA placement papers combine architecture constraints with prediction or auxiliary models.	summarized
iccad2024_easypart	EasyPart: An Effective and Comprehensive Hypergraph Partitioner for FPGA-based Emulation	unknown	ICCAD	2024			docs/papers/pdf/3676536.3676680.pdf	Venue-style anchor for recent FPGA-CAD writing; less direct technically.	summarized
iccad2024_fusion_gp_gate_sizing	Fusion of Global Placement and Gate Sizing with Differentiable Optimization	unknown	ICCAD	2024			docs/papers/pdf/3676536.3676670.pdf	Recent placement-writing sample for differentiable and shift-left narrative; not FPGA-specific.	summarized
